09-May-2018 ET,2018,3,1,Gdoc: Group Document,Working Group Minutes For Session #114,Harry Bims (WG Secretary),09-May-2018 13:05:33 ET,https://mentor.ieee.org/802.16/dcn/18/16-18-0003-01-Gdoc-working-group-minutes-for-session-114.doc,https://mentor.ieee.org/802.16/documents
09-May-2018 ET,2018,3,0,Gdoc: Group Document,Working Group Minutes For Session #114,Harry Bims (WG Secretary),09-May-2018 11:54:36 ET,https://mentor.ieee.org/802.16/dcn/18/16-18-0003-00-Gdoc-working-group-minutes-for-session-114.doc,https://mentor.ieee.org/802.16/documents
04-Mar-2018 ET,2018,2,0,Gcon: Group Contribution,Final Treasurer Report - March 2018,Tim Godfrey (EPRI),05-Mar-2018 08:46:47 ET,https://mentor.ieee.org/802.16/dcn/18/16-18-0002-00-Gcon-final-treasurer-report-march-2018.pptx,https://mentor.ieee.org/802.16/documents
26-Feb-2018 ET,2018,1,0,Gdoc: Group Document,"IEEE 802.16 Status Report, Session #114",Roger Marks (EthAirNet Associates),26-Feb-2018 13:30:47 ET,https://mentor.ieee.org/802.16/dcn/18/16-18-0001-00-Gdoc-ieee-802-16-status-report-session-114.pdf,https://mentor.ieee.org/802.16/documents
08-Nov-2017 ET,2017,45,0,Gcon: Group Contribution,Treasurer Report - November 2017,Tim Godfrey (EPRI),08-Nov-2017 08:36:14 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0045-00-Gcon-treasurer-report-november-2017.pptx,https://mentor.ieee.org/802.16/documents
05-Nov-2017 ET,2017,44,0,Gdoc: Group Document,Working Group Minutes for Session #112,Harry Bims (WG Secretary),10-Nov-2017 09:21:28 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0044-00-Gdoc-working-group-minutes-for-session-112.doc,https://mentor.ieee.org/802.16/documents
02-Nov-2017 ET,2017,43,0,Gdoc: Group Document,"IEEE 802.16 Status Report, Session #112",Roger Marks (EthAirNet Associates),02-Nov-2017 16:43:37 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0043-00-Gdoc-ieee-802-16-status-report-session-112.pdf,https://mentor.ieee.org/802.16/documents
22-Sep-2017 ET,2017,41,4,00R4: P802.16 Rev 4,P802.16Rev4/D3 Sponsor Ballot comments,Ron Murias (Maint TG Editor),22-Sep-2017 03:08:02 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0041-04-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,https://mentor.ieee.org/802.16/documents
19-Sep-2017 ET,2017,41,3,00R4: P802.16 Rev 4,P802.16Rev4/D3 Sponsor Ballot comments,Ron Murias (Maint TG Editor),19-Sep-2017 18:35:23 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0041-03-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,https://mentor.ieee.org/802.16/documents
14-Sep-2017 ET,2017,41,2,00R4: P802.16 Rev 4,P802.16Rev4/D3 Sponsor Ballot comments,Ron Murias (Maint TG Editor),14-Sep-2017 20:46:12 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0041-02-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,https://mentor.ieee.org/802.16/documents
14-Sep-2017 ET,2017,42,0,Gdoc: Group Document,Working Group Minutes for Session #111,Harry Bims (WG Secretary),14-Sep-2017 22:59:13 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0042-00-Gdoc-working-group-minutes-for-session-111.doc,https://mentor.ieee.org/802.16/documents
08-Sep-2017 ET,2017,41,1,00R4: P802.16 Rev 4,P802.16Rev4/D3 Sponsor Ballot comments,Ron Murias (Maint TG Editor),08-Sep-2017 19:22:55 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0041-01-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,https://mentor.ieee.org/802.16/documents
05-Sep-2017 ET,2017,41,0,00R4: P802.16 Rev 4,P802.16Rev4/D3 Sponsor Ballot comments,Roger Marks (EthAirNet Associates),05-Sep-2017 01:18:58 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0041-00-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,https://mentor.ieee.org/802.16/documents
14-Aug-2017 ET,2017,6,3,000s: P802.16s,802-16s-approved-system-description-document-sdd,GRIDMAN Task Group,14-Aug-2017 14:06:17 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0006-03-000s-802-16s-approved-system-description-document-sdd.docx,https://mentor.ieee.org/802.16/documents
14-Aug-2017 ET,2017,40,2,000s: P802.16s,Spreadsheet for estimating channel performance,Doug Gray (EPRI),14-Aug-2017 13:34:30 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0040-02-000s-spreadsheet-for-estimating-channel-performance.xlsx,https://mentor.ieee.org/802.16/documents
25-Jul-2017 ET,2017,35,5,00R4: P802.16 Rev 4,Comments: WG Letter Ballot Recirc #41a,Ron Murias (Maint TG Editor),25-Jul-2017 12:05:08 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0035-05-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,https://mentor.ieee.org/802.16/documents
19-Jul-2017 ET,2017,35,3,00R4: P802.16 Rev 4,Comments: WG Letter Ballot Recirc #41a,Ron Murias (Maint TG Editor),19-Jul-2017 22:05:45 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0035-03-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,https://mentor.ieee.org/802.16/documents
17-Jul-2017 ET,2017,40,1,000s: P802.16s,Spreadsheet for estimating channel performance,Doug Gray (EPRI),17-Jul-2017 12:01:50 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0040-01-000s-spreadsheet-for-estimating-channel-performance.xlsx,https://mentor.ieee.org/802.16/documents
13-Jul-2017 ET,2017,34,1,Gdoc: Group Document,P802.16Rev4 to Sponsor Ballot: Conditional Approval Request,Roger Marks (EthAirNet Associates),13-Jul-2017 03:46:43 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0034-01-Gdoc-p802-16rev4-to-sponsor-ballot-conditional-approval-request.pptx,https://mentor.ieee.org/802.16/documents
13-Jul-2017 ET,2017,35,2,00R4: P802.16 Rev 4,Comments: WG Letter Ballot Recirc #41a,Ron Murias (Maint TG Editor),13-Jul-2017 03:19:33 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0035-02-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,https://mentor.ieee.org/802.16/documents
13-Jul-2017 ET,2017,30,2,Gdoc: Group Document,IEEE 802.16 Working Group and GRIDMAN Task Group Minutes of Session #109,Harry Bims (WG Vice Chair),13-Jul-2017 02:20:48 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0030-02-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-109.doc,https://mentor.ieee.org/802.16/documents
