Author,Company,Download,Title,Before Parsing
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/18/16-18-0003-01-Gdoc-working-group-minutes-for-session-114.doc,Working Group Minutes For Session #114,Harry Bims (WG Secretary)
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/18/16-18-0003-00-Gdoc-working-group-minutes-for-session-114.doc,Working Group Minutes For Session #114,Harry Bims (WG Secretary)
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/18/16-18-0002-00-Gcon-final-treasurer-report-march-2018.pptx,Final Treasurer Report - March 2018,Tim Godfrey (EPRI)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/18/16-18-0001-00-Gdoc-ieee-802-16-status-report-session-114.pdf,"IEEE 802.16 Status Report, Session #114",Roger Marks (EthAirNet Associates)
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0045-00-Gcon-treasurer-report-november-2017.pptx,Treasurer Report - November 2017,Tim Godfrey (EPRI)
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/17/16-17-0044-00-Gdoc-working-group-minutes-for-session-112.doc,Working Group Minutes for Session #112,Harry Bims (WG Secretary)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0043-00-Gdoc-ieee-802-16-status-report-session-112.pdf,"IEEE 802.16 Status Report, Session #112",Roger Marks (EthAirNet Associates)
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0041-04-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,P802.16Rev4/D3 Sponsor Ballot comments,Ron Murias (Maint TG Editor)
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0041-03-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,P802.16Rev4/D3 Sponsor Ballot comments,Ron Murias (Maint TG Editor)
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0041-02-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,P802.16Rev4/D3 Sponsor Ballot comments,Ron Murias (Maint TG Editor)
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/17/16-17-0042-00-Gdoc-working-group-minutes-for-session-111.doc,Working Group Minutes for Session #111,Harry Bims (WG Secretary)
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0041-01-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,P802.16Rev4/D3 Sponsor Ballot comments,Ron Murias (Maint TG Editor)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0041-00-00R4-p802-16rev4-d3-sponsor-ballot-comments.xlsx,P802.16Rev4/D3 Sponsor Ballot comments,Roger Marks (EthAirNet Associates)
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/17/16-17-0006-03-000s-802-16s-approved-system-description-document-sdd.docx,802-16s-approved-system-description-document-sdd,GRIDMAN Task Group
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0040-02-000s-spreadsheet-for-estimating-channel-performance.xlsx,Spreadsheet for estimating channel performance,Doug Gray (EPRI)
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0035-05-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,Comments: WG Letter Ballot Recirc #41a,Ron Murias (Maint TG Editor)
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0035-03-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,Comments: WG Letter Ballot Recirc #41a,Ron Murias (Maint TG Editor)
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0040-01-000s-spreadsheet-for-estimating-channel-performance.xlsx,Spreadsheet for estimating channel performance,Doug Gray (EPRI)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0034-01-Gdoc-p802-16rev4-to-sponsor-ballot-conditional-approval-request.pptx,P802.16Rev4 to Sponsor Ballot: Conditional Approval Request,Roger Marks (EthAirNet Associates)
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0035-02-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,Comments: WG Letter Ballot Recirc #41a,Ron Murias (Maint TG Editor)
Harry Bims,"""WG Vice Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0030-02-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-109.doc,IEEE 802.16 Working Group and GRIDMAN Task Group Minutes of Session #109,Harry Bims (WG Vice Chair)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0012-01-Gdoc-ieee-802-16-administrative-report.pdf,IEEE 802.16 Administrative Report,Roger Marks (EthAirNet Associates)
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0037-01-000s-gridman-meeting-presentation-july-2017.pptx,GRIDMAN Meeting Presentation - July 2017,Tim Godfrey (EPRI)
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/17/16-17-0006-02-000s-802-16s-approved-system-description-document-sdd.docx,802-16s-approved-system-description-document-sdd,GRIDMAN Task Group
EPRI,no company,https://mentor.ieee.org/802.16/dcn/17/16-17-0040-00-000s-spreadsheet-for-estimating-channel-performance.xlsx,Spreadsheet for estimating channel performance,EPRI
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/17/16-17-0039-00-Gdoc-working-group-minutes-for-session-110.doc,Working Group Minutes for Session #110,Harry Bims (WG Secretary)
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0038-00-Gcon-treasurer-report-july-2017.pptx,Treasurer Report - July 2017,Tim Godfrey (EPRI)
Maint TG Chair,no company,https://mentor.ieee.org/802.16/dcn/17/16-17-0036-01-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-110.pptx,IEEE 802.16 Maintenance Task Group Opening Report for Session #110,Maint TG Chair
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/17/16-17-0016-01-Gdoc-working-group-minutes-for-session-108.doc,Working Group Minutes for Session #108,Harry Bims (WG Secretary)
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0037-00-000s-gridman-meeting-presentation-july-2017.pptx,GRIDMAN Meeting Presentation - July 2017,Tim Godfrey (EPRI)
Maint TG Chair,no company,https://mentor.ieee.org/802.16/dcn/17/16-17-0036-00-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-110.pptx,IEEE 802.16 Maintenance Task Group Opening Report for Session #110,Maint TG Chair
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0035-01-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,Comments: WG Letter Ballot Recirc #41a,Ron Murias (Maint TG Editor)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0035-00-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,Comments: WG Letter Ballot Recirc #41a,Roger Marks (EthAirNet Associates)
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0017-03-000s-representative-channel-performance-for-802-16s.docx,Representative Channel Performance for 802.16s,Doug Gray (EPRI)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0034-00-Gdoc-p802-16rev4-to-sponsor-ballot-conditional-approval-request.pptx,P802.16Rev4 to Sponsor Ballot: Conditional Approval Request,Roger Marks (EthAirNet Associates)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0033-00-Gdoc-ieee-802-16-status-report-session-110.pdf,"IEEE 802.16 Status Report, Session #110",Roger Marks (EthAirNet Associates)
Harry Bims,"""WG Vice-Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0025-02-00R4-wg-letter-ballot-41-editor-dispositions-and-consolidated-comments.xlsx,WG Letter Ballot 41 editor dispositions and consolidated comments,Harry Bims (WG Vice-Chair)
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0032-01-000s-maintenance-tg-lb-41-comment-resolutions.xlsx,Maintenance TG LB #41 comment resolutions,Ron Murias (Maint TG Editor)
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0026-03-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx,P802.16s/D2 Sponsor Ballot comments-with-Editor-Dispositions,Doug Gray (EPRI)
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0026-02-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx,P802.16s/D2 Sponsor Ballot comments-with-Editor-Dispositions,Doug Gray (EPRI)
Harry Bims,"""WG Vice Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0030-01-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-109.doc,IEEE 802.16 Working Group and GRIDMAN Task Group Minutes of Session #109,Harry Bims (WG Vice Chair)
Harry Bims,"""Maint TG Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0032-00-000s-maintenance-tg-lb-41-comment-resolutions.xlsx,Maintenance TG LB #41 comment resolutions,Harry Bims (Maint TG Chair)
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0031-01-000s-gridman-meeting-presentation-may-2017.pptx,GRIDMAN Meeting Presentation - May 2017,Tim Godfrey (EPRI)
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0026-01-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx,P802.16s/D2 Sponsor Ballot comments-with-Editor-Dispositions,Doug Gray (EPRI)
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0031-00-000s-gridman-meeting-presentation-may-2017.pptx,GRIDMAN Meeting Presentation - May 2017,Tim Godfrey (EPRI)
Harry Bims,"""WG Vice Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0030-00-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-109.doc,IEEE 802.16 Working Group and GRIDMAN Task Group Minutes of Session #109,Harry Bims (WG Vice Chair)
Harry Bims,"""Maint TG Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0029-01-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-109.pptx,IEEE 802.16 Maintenance Task Group Opening Report for Session #109,Harry Bims (Maint TG Chair)
Harry Bims,"""WG Vice-Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0025-01-00R4-wg-letter-ballot-41-editor-dispositions-and-consolidated-comments.xlsx,WG Letter Ballot 41 editor dispositions and consolidated comments,Harry Bims (WG Vice-Chair)
Harry Bims,"""Maint TG Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0029-00-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-109.pptx,IEEE 802.16 Maintenance Task Group Opening Report for Session #109,Harry Bims (Maint TG Chair)
Harry Bims,"""Acting Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0028-00-Gdoc-eee-802-16-administrative-report-for-session-109.pdf,EEE 802.16 Administrative Report for Session #109,Harry Bims (Acting Chair)
Harry Bims,"""WG Acting Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0027-00-Gdoc-ieee-802-16-status-report-session-108.pdf,"IEEE 802.16 Status Report, Session #108",Harry Bims (WG Acting Chair)
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0026-00-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx,P802.16s/D2 Sponsor Ballot comments-with-Editor-Dispositions,Doug Gray (EPRI)
