Author,Company,Download,Title,Before parsing
Simon Black,"""Symbionics""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196001_scan.pdf,Draft MAC PICS Proforma Text ,"Draft MAC PICS Proforma Text (Simon Black, Symbionics)"
no name,no company,null,null,Void
Miri Ratner,"""Breezecom""",null,Forgotten comments on section 8 of draft D2.0 ,"Forgotten comments on section 8 of draft D2.0 (Miri Ratner, Breezecom)"
Miri Ratner,"""Breezecom""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196003r1_scan.pdf,Disposition on Forgotten comments on section 8 of draft D2.0 ,"Disposition on Forgotten comments on section 8 of draft D2.0 (Miri Ratner, Breezecom)"
no name,no company,http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196004_scan.pdf,null,"Report of a meeting with Rich Engelman, FCC"
Vic Hayes,"""AT&T""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196004A_scan.pdf,Introduction of IEEE P802.11,"Introduction of IEEE P802.11(Vic Hayes, AT&T)"
Naftali Chayat,"""Breezecom""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196004B_scan.pdf,FHSS subpart of the 802.11 Wireless LAN Std. ,FHSS subpart of the 802.11 Wireless LAN Std. (Naftali Chayat - Breezecom)
Vic Hayes;AT&T WCND Utrecht,"""AT&T WCND Utrecht""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196005_scan.pdf,Interim report on received IPR letters ,"Interim report on received IPR letters (Vic Hayes, Chair, AT&T WCND Utrecht)"
Vic Hayes;AT&T WCND Utrecht,"""AT&T WCND Utrecht""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196005A_scan.pdf,Interim report on received IPR letters {Proxim} ,"Interim report on received IPR letters {Proxim} (Vic Hayes, Chair, AT&T WCND Utrecht)"
Vic Hayes;AT&T WCND Utrecht,"""AT&T WCND Utrecht""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196005B_scan.pdf,Interim report on received IPR letters {JRC} ,"Interim report on received IPR letters {JRC} (Vic Hayes, Chair, AT&T WCND Utrecht)"
